id,year,gender,jobtenure,pos,procjust,valuefit,sickdays,jobsat,distjust,jobstrain,perf,training,pos_l1,perf_l1,procjust_l1,valuefit_l1,sickdays_l1,jobsat_l1,distjust_l1,jobstrain_l1,training_l1
1,2014,1,8,2.25,3.25,3.6700001,0,1.8200002,4,1.67,2,0,,,,,,,,,
1,2015,1,9,2.5,4,2.6700001,0,1.8000002,3,3.6700001,1.1,0,2.25,1,3.25,3.6700001,0,1.8200002,4,1.67,0
1,2016,1,10,2.75,3,3.3299999,0,2.4000001,2.3299999,3.3299999,1.9,0,2.5,1,4,2.6700001,0,1.8000002,3,3.6700001,0
2,2014,2,15,2.25,3,3.6700001,0,2.8200002,4,3.6700001,4.8000002,1,,,,,,,,,
2,2015,2,16,3,3,3.6700001,2,1.6999998,4.6700001,4.3299999,1.6,0,2.25,4,3,3.6700001,0,2.8200002,4,3.6700001,1
2,2016,2,17,2.75,2.25,4.3299999,0,2.4000001,3.6700001,3.6700001,3.9000001,1,3,1,3,3.6700001,2,1.6999998,4.6700001,4.3299999,0
3,2014,1,20,2.75,2.75,2.6700001,0,3.73,5,2,5.0999999,1,,,,,,,,,
3,2015,1,21,1.75,3.25,3.6700001,0,2.6999998,5,3.3299999,4.5,1,2.75,5,2.75,2.6700001,0,3.73,5,2,1
3,2016,1,22,1.5,3.25,3,2,3.9000001,5,3.3299999,3.3,1,1.75,4,3.25,3.6700001,0,2.6999998,5,3.3299999,1
4,2014,1,4,3.5,3.25,4.6700001,0,2.73,4,2,4.8000002,1,,,,,,,,,
4,2015,1,5,2.75,3,4.6700001,0,1.4000001,4,2.3299999,3.0999999,0,3.5,4,3.25,4.6700001,0,2.73,4,2,1
4,2016,1,6,2.75,3.5,4.3299999,3,2.5,3.6700001,2.6700001,3.7,0,2.75,3,3,4.6700001,0,1.4000001,4,2.3299999,0
5,2014,1,8,4.25,5,4.3299999,0,.17999983,3,1.33,3,0,,,,,,,,,
5,2015,1,9,3.75,5,5,0,1.3999996,3,2.3299999,2.2,0,4.25,3,5,4.3299999,0,.17999983,3,1.33,0
5,2016,1,10,3.25,3.5,4.3299999,0,1.8000002,2.6700001,2.3299999,3.0999999,0,3.75,2,5,5,0,1.3999996,3,2.3299999,0
6,2014,2,6,3.5,4,4,0,1.4499998,3,4,5.9000001,1,,,,,,,,,
6,2015,2,7,3.5,3,3.3299999,0,1.4000001,3,5,4.4000001,1,3.5,5,4,4,0,1.4499998,3,4,1
6,2016,2,8,3.25,3,3,0,.5999999,2,3.3299999,5.4000001,1,3.5,4,3,3.3299999,0,1.4000001,3,5,1
7,2014,1,4,1.5,3.25,3.6700001,0,2.73,4.6700001,3.6700001,3.8,1,,,,,,,,,
7,2015,1,5,2.5,4,4.3299999,2,1.6999998,5.3299999,3.6700001,3.7,0,1.5,3,3.25,3.6700001,0,2.73,4.6700001,3.6700001,1
7,2016,1,6,2.5,4.5,4,0,2.4000001,5,4.3299999,3.9000001,1,2.5,3,4,4.3299999,2,1.6999998,5.3299999,3.6700001,0
8,2014,1,7,4.25,4.5,4.6700001,0,.26999998,2,1,2.4000001,0,,,,,,,,,
8,2015,1,8,3.75,4,4.6700001,1,1.5,3.0599999,2.3299999,2.2,0,4.25,2,4.5,4.6700001,0,.26999998,2,1,0
8,2016,1,9,4.5,4.25,4.6700001,0,.099999905,2.6700001,2,4.3000002,1,3.75,2,4,4.6700001,1,1.5,3.0599999,2.3299999,0
11,2014,2,2,3,2.25,3,0,2.27,4.3299999,3.6700001,5.5,0,,,,,,,,,
11,2015,2,3,3.25,1.75,3.6700001,0,1,4.3299999,4.5999999,5.1999998,1,3,5,2.25,3,0,2.27,4.3299999,3.6700001,0
11,2016,2,4,3.75,1.75,4,9,2.0999999,5,4,5.0999999,1,3.25,5,1.75,3.6700001,0,1,4.3299999,4.5999999,1
